model,fold,roc_auc,pr_auc,accuracy,precision,recall,f1,brier,tn,fp,fn,tp
baseline_lr,1,0.9662626924336717,0.9570262016829861,0.9210526315789473,0.8863636363636364,0.9069767441860465,0.896551724137931,0.05633106796726241,66,5,4,39
baseline_dt,1,0.9207337045528987,0.8497176715635709,0.9122807017543859,0.8666666666666667,0.9069767441860465,0.8863636363636364,0.07709576984898407,65,6,4,39
homog_rf,1,0.9777268260727154,0.9698235150282324,0.9298245614035088,0.8888888888888888,0.9302325581395349,0.9090909090909091,0.04955109383461084,66,5,3,40
hetero_vote_soft,1,0.9767441860465116,0.966757647906896,0.9385964912280702,0.9736842105263158,0.8604651162790697,0.9135802469135802,0.04603454061607547,70,1,6,37
hetero_vote_hard,1,0.9348182115951523,0.9049210683237612,0.9473684210526315,0.9743589743589743,0.8837209302325582,0.926829268292683,0.05263157894736842,70,1,5,38
baseline_lr,2,0.9842777595807403,0.9466742550340802,0.9649122807017544,0.9333333333333333,0.9767441860465116,0.9545454545454546,0.03482687368099782,68,3,1,42
baseline_dt,2,0.9498853586636096,0.9495912916417599,0.9473684210526315,0.9302325581395349,0.9302325581395349,0.9302325581395349,0.04591138735034952,68,3,3,40
homog_rf,2,0.9975433999344906,0.9955149571808231,0.9736842105263158,0.9761904761904762,0.9534883720930233,0.9647058823529412,0.027075657894736843,70,1,2,41
hetero_vote_soft,2,0.9921388797903702,0.9836034328009783,0.9736842105263158,0.9347826086956522,1.0,0.9662921348314607,0.028661311096576523,68,3,0,43
hetero_vote_hard,2,0.9742875859810023,0.9411186528689589,0.9736842105263158,0.9545454545454546,0.9767441860465116,0.9655172413793104,0.02631578947368421,69,2,1,42
baseline_lr,3,0.9927248677248678,0.9895767531527934,0.9736842105263158,0.975609756097561,0.9523809523809523,0.963855421686747,0.031537227522721964,71,1,2,40
baseline_dt,3,0.9469246031746031,0.9136483422197709,0.9122807017543859,0.8809523809523809,0.8809523809523809,0.8809523809523809,0.07256787237508244,67,5,5,37
homog_rf,3,0.9788359788359788,0.9759610010296926,0.956140350877193,0.9512195121951219,0.9285714285714286,0.9397590361445783,0.04289809990659672,70,2,3,39
hetero_vote_soft,3,0.9917328042328042,0.9879339801802209,0.9649122807017544,0.975,0.9285714285714286,0.9512195121951219,0.030690631127268022,71,1,3,39
hetero_vote_hard,3,0.9523809523809523,0.9398496240601504,0.9649122807017544,1.0,0.9047619047619048,0.95,0.03508771929824561,72,0,4,38
baseline_lr,4,0.9751984126984127,0.9762387424775102,0.9473684210526315,0.95,0.9047619047619048,0.926829268292683,0.041766101574495236,70,2,4,38
baseline_dt,4,0.9284060846560847,0.8595048226627173,0.9122807017543859,0.8636363636363636,0.9047619047619048,0.8837209302325582,0.07764052989616901,66,6,4,38
homog_rf,4,0.97255291005291,0.9715948210362764,0.9385964912280702,0.9069767441860465,0.9285714285714286,0.9176470588235294,0.051174499992794206,68,4,3,39
hetero_vote_soft,4,0.9712301587301586,0.9743493995082018,0.956140350877193,0.9743589743589743,0.9047619047619048,0.9382716049382716,0.040150785336053596,71,1,4,38
hetero_vote_hard,4,0.933531746031746,0.9016290726817043,0.9473684210526315,0.9736842105263158,0.8809523809523809,0.925,0.05263157894736842,71,1,5,37
baseline_lr,5,0.9932930918846412,0.9911463441211725,0.9823008849557522,1.0,0.9523809523809523,0.975609756097561,0.026637988435796487,71,0,2,40
baseline_dt,5,0.9688128772635815,0.9536135200769347,0.9292035398230089,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.04922409455210579,67,4,4,38
homog_rf,5,0.9956405097250168,0.9932965976797514,0.9646017699115044,0.975,0.9285714285714286,0.9512195121951219,0.029838347375543618,70,1,3,39
hetero_vote_soft,5,0.9932930918846412,0.9905904114324713,0.9646017699115044,0.975,0.9285714285714286,0.9512195121951219,0.025946626087846862,70,1,3,39
hetero_vote_hard,5,0.9523809523809523,0.9401601348504003,0.9646017699115044,1.0,0.9047619047619048,0.95,0.035398230088495575,71,0,4,38
